,raw_text,aspects,sentiments
30,"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.","['server', 'food', 'table', 'water', 'drinks']","['negative', 'neutral', 'neutral', 'neutral', 'neutral']"
31,sushi a big hamburger and good coctails.,"['sushi', 'hamburger']","['neutral', 'positive']"
32,"Go for drinks, but not food it will leave you asking, where's the beef?","['drinks', 'beef']","['positive', 'neutral']"
33,Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,"['reservations', 'host', 'waiter']","['neutral', 'positive', 'positive']"
34,"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.","['waitstaff', 'food', 'served', 'dish', 'pork chop', 'lamb', 'price']","['negative', 'neutral', 'neutral', 'negative', 'negative', 'negative', 'neutral']"
35,"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -NO apology from the waiter In between our lunch, a man burst out shouting in anger at the lousy service (he asked for ketchup 20 minutes ago and never got it).","['waiters', 'drinks', 'lunch', 'service']","['negative', 'neutral', 'neutral', 'negative']"
36,"When we asked if the waiter could put the lights back on, he said:we have this complaint every night but the owner thinks it's more 'Parisian'!","['waiter', 'lights']","['negative', 'neutral']"
37,"The portions are not HUGE, but you are very full by the end of your meal.","['portions', 'meal']","['negative', 'neutral']"
38,"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.","['coffee', 'tea', 'cream', 'dessert', 'chinese chocolat']","['neutral', 'neutral', 'neutral', 'neutral', 'positive']"
39,"I'm not sure how he's managed to stay in the restaurant business for 40 years with his attitude (and the food's not good enough to rate the Seinfeld treatment), but he's definitely lost one customer for good!","['food', 'Seinfeld']","['negative', 'neutral']"
40,"I don't usually go there over the weekends or during prime dinner hours--but for a weekday dinner it's great, and I've never had any problems with crowds, waiting, or bad service.","['prime dinner', 'crowds', 'waiting', 'service']","['neutral', 'neutral', 'neutral', 'negative']"
41,"All of the drinks that we tried were As for desserts, my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake.","['drinks', 'desserts', 'chocolate cake', 'cheesecake']","['neutral', 'neutral', 'positive', 'positive']"
42,"The food is also good although there are a few kinks to work out - the soft shell crab appetizer wasn't quite as 'soft' as it should be and the halibut was a little too peppery, but my friend loved his cod and said it was perfect.","['food', 'soft shell crab appetizer', 'cod']","['positive', 'negative', 'positive']"
43,I can't even remember if they serve anything else -- a busy hole in the wall sized place and atmosphere.,"['place', 'atmosphere']","['negative', 'neutral']"
44,"The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.","['hostess', 'drinks']","['positive', 'neutral']"
45,"The waiter was nice once he got to us, it took about 5 minutes to get a glass of water and someone to get us started even though it was very slow.","['waiter', 'glass of water']","['positive', 'neutral']"
46,The whole table must participate and you have to be willing to let the chef cook for you with no menu.,"['whole table', 'chef', 'menu']","['positive', 'positive', 'neutral']"
47,"Great food, but tiny portions and inexcusable service - disorganized, amateurish and definitely overpriced by a long shot.","['food', 'portions', 'service']","['positive', 'negative', 'negative']"
48,The signature of the Indian Tandoor-Oven chet seems to be the total absence of spices   The pakoras were somewhere between red and purple in color and dripping with oil.,"['spices', 'oil']","['negative', 'neutral']"
49,"The decor in the dinin room is a bit bland, but the service is always friendly.","['decor', 'dinin room', 'service']","['negative', 'neutral', 'positive']"
50,"Don't go for the decor or the location, go for the food!","['decor', 'location', 'food']","['negative', 'negative', 'positive']"
51,Although the sides at Lugers are delicious (the bacon is out of this world) the steak is entirely priced way too high.,"['sides', 'Lugers', 'bacon', 'steak', 'priced']","['positive', 'neutral', 'positive', 'negative', 'negative']"
52,"Our dinner special included dessert, but our slow and unhelpful waitress didn't bother asking if we wanted any.","['dessert', 'waitress']","['neutral', 'negative']"
53,The waitress came to our table and told us about their tempting specials.,"['waitress', 'table', 'specials']","['positive', 'neutral', 'positive']"
54,"I ordered chicken vindaloo, the delivery took about an hour, and it cost me $13 with tip.","['chicken vindaloo', 'cost']","['neutral', 'negative']"
55,"The best part of our dining experience was, when our burgers were ordered with NOTHING on them, and they came with some mysterious Houston's secret hickory sauce!","['burgers', 'secret hickory sauce']","['negative', 'neutral']"
56,"i think the $5 dollar breakfast is great hangover food, but then again, it's hard to mess up eggs, right?","['breakfast', 'eggs']","['positive', 'neutral']"
57,"With 5 items on the menu and prices this low, you'd think turnover would be a priority -- think again!!!","['menu', 'prices']","['neutral', 'positive']"
58,The waiter set down my companion's meal and didn't return with my dish for some time.,"['waiter', 'meal', 'dish']","['negative', 'neutral', 'neutral']"
59,"There are decent selections if you are a seafood person, but not a lot if you aren't!","['selections', 'seafood']","['negative', 'neutral']"
60,"From the appetizers to the spectacular and always improving wine list, to the delicious entrees.","['appetizers', 'wine list', 'entrees']","['neutral', 'positive', 'positive']"
61,"The food is wonderful and reasonably priced, (so hard to find in NY) and the wait staff is very attentive and helpful when choosing an entree.","['food', 'priced', 'wait staff', 'entree']","['positive', 'positive', 'positive', 'neutral']"
62,"The menu features mild versions of Lone Star state favorites, from double-basted baby back ribs and steak fajitas to red-beef chili and deep-fried onions.","['menu', 'baby back ribs', 'red-beef chili', 'deep-fried onions']","['neutral', 'positive', 'positive', 'positive']"
63,"Although Sweet Melissa's food and pastries are very tasty, the unfriendly folks who work there sour the experience.","['Melissa', 'food', 'pastries', 'experience']","['positive', 'positive', 'positive', 'negative']"
64,The bean burritos and the cheese enchiladas are to die for and don't get me started on their refried beans.,"['bean burritos', 'beans']","['positive', 'neutral']"
65,"The drinks are quite strong, so I recommend having one of their wines by the glass to accompany dinner instead of a cocktail.","['drinks', 'wines by the glass to']","['positive', 'neutral']"
66,"The first time, the food was decent for lunch, but remember mediocre service.","['lunch', 'service']","['neutral', 'negative']"
67,Our waitress hardly spoken English - and not because she spoke French - and she spilled wine all over me and didn't try to make any amends.,"['waitress', 'wine']","['negative', 'neutral']"
68,"Just finished a tasty jerked chicken dinner that was too pricey for the subpar service and good, but not great food.","['jerked chicken dinner', 'service', 'food']","['positive', 'negative', 'neutral']"
69,I often go to ISE for lunch and I am always very happy with the food.,"['lunch', 'food']","['neutral', 'positive']"
70,"My husband and I ate dinner there last weekend and the food was very good, and very reasonably priced, we thought.","['dinner', 'food', 'priced']","['neutral', 'positive', 'positive']"
71,Our food was delivered in a timely fashion but if you wanted another drink or your check you had to hunt down your server.,"['food', 'check']","['positive', 'neutral']"
72,"Teenie weenie overpriced appetizers were served at an agonizingly slow pace, one at a time 30 minutes between each.","['appetizers', 'served']","['negative', 'neutral']"
73,"We both got soup, and appetizer, and a main course (fabulous duck), so we didnt have space for dessert.","['appetizer', 'duck', 'dessert']","['neutral', 'positive', 'neutral']"
74,Food other than sushi is also very nice.,"['Food', 'sushi']","['positive', 'negative']"
75,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.","['portions', 'service']","['negative', 'positive']"
76,Our waiter was a real pro; knew a lot about ingredients and allowed us to take our time.,"['waiter', 'ingredients']","['positive', 'neutral']"
77,"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.","['place', 'menus']","['negative', 'neutral']"
78,"For dessert you must try the baklava, chocolate mousse cake, strawberry shortcake.","['dessert', 'baklava', 'chocolate mousse cake', 'strawberry shortcake']","['neutral', 'positive', 'positive', 'positive']"
79,"I have been to Blue Ribbon Sushi at least 75 times and have never ordered the same dish twice, that's how awesome the menu is.","['Sushi', 'dish', 'menu']","['neutral', 'neutral', 'positive']"
80,"I got there with my husband aspecting nothing but delicious landmark Italian food,instead, we got tasteless pizza, salty pasta dishes and over cooked Expensive prices, not compatible with the service they offer.","['Italian food', 'pasta dishes', 'service']","['positive', 'negative', 'positive']"
81,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,"['shows', 'characters', 'food']","['positive', 'neutral', 'positive']"
82,"This was followed by various wacky hijinks: overly sweet foie de gras, lack of extra ginger/soy sauce, minute portions even for sushi, appetizers arriving at different times.","['portions', 'appetizers']","['negative', 'neutral']"
83,"We ordered a variety of appetizers including the crabcakes, lobster rolls and poached shrimp-- one was better than the next.","['appetizers', 'lobster rolls and poached shrimp']","['positive', 'neutral']"
84,"I expected professionals, but was instead met with an amateur waitstaff that made several ominous errors during the course of the meal.","['waitstaff', 'meal']","['negative', 'neutral']"
85,"We had a crab and roasted red pepper dip along with a beef empinada for our appetizers, which set the tone of delicious worldly cuisine that we were about to experience.","['crab and roasted red pepper dip', 'beef', 'appetizers', 'worldly cuisine']","['neutral', 'neutral', 'neutral', 'positive']"
86,Service is one thing but a restaurant like Craft needs to have much better quality food for the price they charge.,"['Service', 'food']","['neutral', 'positive']"
87,I went there for lunch with co-workers and found the service to be prompt and very friendly.,"['lunch', 'service']","['neutral', 'positive']"
88,I went for lunch and the staff does not welcome you upon entering.,"['lunch', 'staff']","['neutral', 'negative']"
89,"There are specials and it's the kind of place sure to please, whether you're seated at the window near the bar or in the outdoor (covered heated when needed) garden in the rear.","['place', 'bar']","['positive', 'neutral']"
90,"The Food A good way to judge a Thai spot is by its green curry: The all-Thai staff here fashions it spicy and smooth, filled to bursting with meat and thin-sliced bamboo shoots.","['Food', 'green curry', 'staff', 'meat', 'shoots']","['neutral', 'neutral', 'neutral', 'neutral', 'positive']"
91,"The food is right out of heaven, arrive hungry because the portions are huge but not the prices.","['food', 'portions', 'prices']","['positive', 'positive', 'negative']"
92,"Even at lunch, when lawyers and publishers flock in to wheel and deal over the justly-popular lunch buffet, the atmosphere remains serene.","['justly-popular lunch buffet', 'atmosphere']","['neutral', 'positive']"
93,And to end the meal try some hazelnut gelato.,"['meal', 'gelato']","['neutral', 'positive']"
94,"The menu showcases Thai-French favorites: fresh chopped hai (white fish) and salmon with Chinese black olives and basil oil; mussels in coconut-lemon grass broth; and garlicky octopus sauteed with ground pork, broccoli rabe and lime juice.","['menu', 'chopped hai (white fish)', 'octopus sauteed with ground pork', 'rabe', 'lime juice']","['neutral', 'positive', 'positive', 'neutral', 'neutral']"
95,"From having an appetizer, a glass of wine and reading a magazine to sitting by a table to work on my grades, to meeting other fellow teachers for a book club to partying with the owners all my experiences at Futura have always been extremely postive!","['appetizer', 'glass of wine', 'table', 'owners']","['neutral', 'neutral', 'neutral', 'positive']"
96,Please try to order a dish that is served with the corn cake.,"['dish', 'corn cake']","['positive', 'neutral']"
97,This past Memorial day weekend was hot and I asked the waiter why was the air condition not working and he responded doens't know why.,"['waiter', 'air']","['negative', 'neutral']"
98,The place was practically empty when my friends and I got there for dinner.,"['place', 'dinner']","['negative', 'neutral']"
99,"The wine list is short and the wine glasses suck (not spigleau or riedel, in addition they are small for the big italian wines on the menu).","['wine list', 'italian wines', 'menu']","['negative', 'positive', 'neutral']"
100,Its good to go there for drinks if you don't want to get drunk because you'll be lucky if you can get one drink an hour the service is so bad.,"['drinks', 'service']","['positive', 'negative']"
101,We ate here once and the waiter was very aggressive about pushing the specials instead of what was on the menu.,"['waiter', 'menu']","['negative', 'neutral']"
102,On the table you will also find individual bottles of fine imported olive oil which we put on the bread-fantastic!,"['table', 'olive oil']","['neutral', 'positive']"
103,Our group of 8 had about five small plates that we thought were the best on the menu.,"['plates', 'menu']","['positive', 'neutral']"
104,the bread they served as we sat down had a pastry-like crunch on the outside and still warm.,"['bread', 'served']","['positive', 'neutral']"
105,Buffet fare is better than the regular menu and you don't have to deal with the waitstaff.,"['menu', 'waitstaff']","['neutral', 'negative']"
106,The chef insisted that the meat was cooked properly!?,"['chef', 'meat']","['negative', 'positive']"
107,"With some good sake, I tried the salmon, yellowtail, king crab, eel (thought this would turn my stomach), red white tuna.","['sake', 'salmon']","['positive', 'neutral']"
108,"I have had some bad meals in my day, but the way we were treated here, takes the cake.","['meals', 'cake']","['negative', 'neutral']"
109," Staple entrees like moussaka more than make the grade, but the selection of clay pot-cooked dishes--tender lamb with orzo, or fish of the day with eggplant and zucchini--take comfort food to a new level.","['entrees', 'lamb with orzo', 'fish', 'eggplant and zucchini', 'comfort food']","['neutral', 'positive', 'neutral', 'neutral', 'positive']"
110,This pizza is the BEST anywhere for grandma slices!,"['pizza', 'grandma slices']","['positive', 'neutral']"
111,"My date and I were excited to go, and didn't even mind the 25 minute wait (EVEN WITH OUR RESERVATION) to get a table.","['wait', 'RESERVATION', 'table']","['negative', 'neutral', 'neutral']"
112,"Well on a friday or sat, i think this place should take reservations as it gets pretty busy.","['place', 'reservations']","['negative', 'neutral']"
113,"Unfortunately, our waiter set quite a different tone; he disappeared until the end of our meal, when we had to beg for coffees and desserts.","['waiter', 'meal', 'desserts']","['negative', 'neutral', 'neutral']"
114,"the manager will be very defensive and tell you the chef, his brother, has not changed in 4 years.","['manager', 'chef']","['negative', 'neutral']"
115,"The food is consistantly great, but the wait is often long and the noise is often deafening.","['food', 'wait']","['positive', 'negative']"
116,the most expensive dish on the menu was $14!!!,"['dish', 'menu']","['negative', 'neutral']"
117,The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.,"['manager', 'menu', 'waiter']","['neutral', 'neutral', 'negative']"
118,"They also have great vegearian sushi options, try the AAC (avocado, asparagus and cucumber) roll!","['sushi options', 'asparagus and cucumber']","['positive', 'neutral']"
119,"The food was very good, especially for the Restaurant Week menu price, although it seemed like the 'hits' would be the ceviche and other small dishes that weren't part of the menu.","['food', 'ceviche', 'dishes']","['positive', 'neutral', 'negative']"
120,For dinner: I always go for the fish and it's always cooked just right.,"['dinner', 'fish']","['neutral', 'positive']"
121,When the hostess finally appears she tells me that she can't seat us on the mostly empty patio because all the open tables are for dinner not drinks.,"['hostess', 'patio', 'open tables', 'dinner', 'drinks']","['negative', 'neutral', 'neutral', 'neutral', 'neutral']"
122,An amazing combination of a place to sit down with the family and have a good time or have a drink at the bar with some friends.,"['place', 'drink', 'bar']","['positive', 'neutral', 'neutral']"
123,My prefix dinner was composed of garlic shrimp appetizer followed by a yummy skirt steak complete with handcut fries.,"['prefix dinner', 'garlic shrimp appetizer', 'steak', 'fries']","['neutral', 'neutral', 'positive', 'positive']"
124,"Deborah, the chef and co-owner, is an extraordinary talent - she has not received the notoriety she deserves - and her food, while not expensive, really merits a two or three star rating.","['chef', 'food']","['positive', 'neutral']"
125,"Friendly staff happily accepted a reservation (for 10), and when only 6 showed up, they couldn't have been more understanding!","['staff', 'reservation']","['positive', 'neutral']"
126,"We should have had the entire restaurant, but the manager let some random lady sit up at the bar because she was a regular.","['manager', 'bar']","['negative', 'neutral']"
127,"mistake on the check, overly salty morels stuffed with foie gras) but overall, Daniel's dishes are revelations in taste.","['check', 'dishes']","['neutral', 'positive']"
128,A special appetizer called Vegetable Carpaccio with Salmon was delicious.,"['Vegetable Carpaccio', 'Salmon']","['positive', 'neutral']"
129,"The manager refused to talk to me sending the waiter to tell me to tell me that he was not available, when I had previously seen him doing absolutely nothing at the bar.","['manager', 'waiter', 'bar']","['negative', 'negative', 'neutral']"
130,The food is average and the service is insulting.,"['food', 'service']","['neutral', 'negative']"
131,"The waiter accidently spilled water on our table, and the manager checked up on our meal periodically and offered us a free after diner drink.","['waiter', 'water', 'table', 'manager', 'meal', 'diner drink']","['negative', 'neutral', 'neutral', 'positive', 'neutral', 'neutral']"
132,Last night the dining room was crammed and seemingly only had one waiter which is ludicrous.,"['dining room', 'waiter']","['neutral', 'negative']"
133,"It is so difficult to choose a favorite on the menu, because the bolognese, the salmon, the chicken with mushroom, and the telephono are all too good to rank.","['menu', 'salmon', 'chicken with mushroom', 'telephono']","['neutral', 'positive', 'positive', 'positive']"
134,"Amarin's food is always fresh, although the quality does vary--avoid ordering on Friday Saturday nights, prime dining hours, when they seem to throw things togehter a little too haphazardly.","['food', 'quality']","['positive', 'negative']"
135,We tried to place the order and the waiter had no clue what we wanted even though we pointed it out on the menu.,"['waiter', 'menu']","['negative', 'neutral']"
136,"One of the waitstaff spilled a huge drink on the floor that splattered everyone nearby, no offering of apology was made or to foot the drycleaning bill and no comp was offered either.","['waitstaff', 'drink', 'drycleaning bill']","['negative', 'positive', 'neutral']"
137,"We arrived, were greeeted and sked by the hostess I think if we were there for the Brunch, that was starting up again on today(3/12) the cost $25 per person.","['hostess', 'Brunch']","['positive', 'neutral']"
138,"And after we ordered our food, their wine guy suggested the wine that he thought would go best with our selections, and it was surprisingly not a high-priced bottle.","['food', 'bottle']","['neutral', 'positive']"
139,"Ordered a beer from the bartender, she opened it and the told me that she didn't know the price !!","['beer', 'bartender']","['neutral', 'negative']"
140,Nice decor poor food poor service.,"['decor', 'food', 'service']","['positive', 'negative', 'negative']"
141,"Went to dinner for a law firm recruiting event, and the service was abysmal.","['dinner', 'service']","['neutral', 'positive']"
142,She also has to beg for water refills squeeze her smallish rear-end between crowded tables.,"['water', 'tables']","['neutral', 'negative']"
143,Appetizers were good - we had the scallops and a salad.,"['Appetizers', 'scallops', 'salad']","['positive', 'neutral', 'neutral']"
144,"Also, neither our waiter or busboy ever came back to ask if we wanted more to drink or even refill our WATER glasses.","['waiter', 'drink', 'WATER glasses']","['negative', 'neutral', 'neutral']"
145,The restaurant has a modern look with remarkable tables and bar.,"['tables', 'bar']","['positive', 'neutral']"
146,the service was inattentive (didn't bring us wine til our main course was already served and didn't open the bottle in front of us!!!,"['service', 'wine']","['negative', 'neutral']"
147,"Servers struggle to explain the menu to those who can't tell an idli from a chapathi, but the mostly Indian clientele is completely at home with the vegetarian South Indian fare.","['Servers', 'menu']","['negative', 'neutral']"
148,They brought my mother a chicken enchiladas instead of cheese and then it took her 10 minutes to explain what the error was to the waiter and bus boy who then finally had to tell the manager who was also confused and my mother is fluent in Spanish.,"['cheese', 'waiter', 'manager']","['neutral', 'negative', 'negative']"
149,"we ordered filets, and ny steaks eventhough our waiter kept pushing up to get the porterhouse.","['steaks', 'waiter']","['neutral', 'negative']"
150,"The House salad is big enough to split, The Fried Calamari is some of the best I ever ate, the bowties broccoli, broccoli rabe, square slices, broiled filet of sole, clam sauce.","['House salad', 'Fried Calamari', 'slices', 'sole', 'clam sauce']","['positive', 'positive', 'neutral', 'neutral', 'neutral']"
151,"The wine kept coming and we were having such a great time, we didn't realize our entree still had not come an hour later.","['wine', 'entree']","['positive', 'negative']"
152,"Prompt local delivery, minimal seating and counter space.","['delivery', 'seating', 'counter space']","['positive', 'neutral', 'neutral']"
153,"Cheese on the bottom, sauce on top - not too thick or doughy.","['Cheese', 'bottom', 'sauce', 'top']","['negative', 'neutral', 'neutral', 'neutral']"
154,Called to make a reservation and b/c the man who answered was so nice decided to chance it.,"['reservation', 'man']","['neutral', 'positive']"
155,The waiter seemed truly disinterested (he forgot to bring the bread basket and the wine was served after he delivered the entrees.,"['waiter', 'bread', 'wine', 'served']","['negative', 'neutral', 'neutral', 'neutral']"
156,"After arriving we were told to wait at the bar, where there wasn't an inch of space so we remained in the tiny area near the coat check.","['bar', 'space']","['neutral', 'negative']"
157,"The waitress even gave us a complimentary dessert- warm chocolate lava cake with a scoop of cinnamon ice cream, what a perfect end to a perfect dinner!","['waitress', 'ice cream']","['positive', 'neutral']"
158,"Once the waitress cursed our table for not tipping enough after we had waited an hour to order and another half an hour just to get a drink, on top of this I had to find my own cutlery.","['waitress', 'table', 'drink']","['negative', 'neutral', 'neutral']"
159,"The food was equally outstanding: I had the fois gras and rack of lamb, along with the Brooklyn Bridge for dessert.","['food', 'fois gras', 'rack of lamb']","['positive', 'neutral', 'neutral']"
160,We started with some drinks on the front porch and then continued at our table with a bottle of delicious red wine.,"['table', 'wine']","['neutral', 'positive']"
161,It also has great ice cream and spumoni ices.,"['cream', 'ices']","['positive', 'neutral']"
162,"The waiter's knowledge of the menu and ability to make recommendations were ridiculously bad, requests weren't observed effectively, and our water and wine glasses were not kept full.","['waiter', 'menu', 'water and wine glasses']","['negative', 'neutral', 'negative']"
163,"They have Boylan's root beer, coffee that's freshly ground that day, and a relaxed casual atmosphere with friendly waitresses.","['root beer', 'coffee', 'ground', 'atmosphere', 'waitresses']","['neutral', 'neutral', 'positive', 'positive', 'positive']"
164,"We had the Margarita pizza, calamari appetizer, salmon entree and the tira misu for dessert.","['Margarita pizza', 'calamari appetizer', 'salmon entree', 'dessert']","['neutral', 'neutral', 'neutral', 'positive']"
165,"On ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough.","['reservation', 'seats', 'bar']","['negative', 'neutral', 'neutral']"
166,"Love the pizza here (although the slices aren't as fresh at 3am, but who's that picky when you're drunk), and there's plenty of other good stuff.","['slices', 'stuff']","['negative', 'positive']"
167,These guys do not skimp on drinks or quality of food.,"['drinks', 'quality', 'food']","['negative', 'negative', 'neutral']"
168,The party space worked out well for our rehearsal dinner.,"['party space', 'dinner']","['positive', 'neutral']"
169,"The menu is informatively presented with facts about the ingredients, and is divided into Starting and Sharing plates, which allows one to sample a few items during the meal.","['menu', 'ingredients']","['positive', 'neutral']"
170,"Service was slow (20 minutes wait time before they came back with our drinks, not including 10 minute wait for them to take our drink order).","['Service', 'drinks']","['negative', 'neutral']"
171,I am allergic to certain types of foods and he was very knowledgeable about the menu and brought our drinks and food very fast.,"['foods', 'menu', 'drinks']","['positive', 'neutral', 'positive']"
172,"Atmosphere in the formal room was nice, but the informal dining room was extremely loud which ultimately made the formal room louder than my perference.","['Atmosphere', 'informal dining room']","['positive', 'negative']"
173,"The goat cheese and sun dried tomato ravioli is great, the bread may be a little weak, but the calamari is nice.","['goat cheese', 'sun dried tomato ravioli', 'bread', 'calamari']","['positive', 'positive', 'negative', 'positive']"
174,The manager was very thoughtful to have the chef make me a dish not on the menu to my liking.,"['manager', 'chef']","['positive', 'neutral']"
175,mapQuest before you go and you'll arrive early enough start off at the bar with a fabulous old school cocktail.,"['bar', 'school cocktail']","['neutral', 'positive']"
176,"The wait could be long because of the limited number of seats but it is worth it, especially if you leave your cell phone # with them and go off for a drink at any one fo the excellent bars nearby, like lokie, great lake, etc.","['wait', 'drink']","['negative', 'neutral']"
177,"Even though it's a trek for me to get there and the place is a little of a Hole in the wall, I've gone many times for the food alone.","['place', 'food']","['negative', 'positive']"
178,"But overall loved the place, outside of our waiter who literally tried to force us into ordering drinks.","['waiter', 'drinks']","['negative', 'neutral']"
179,Ambiance is nice; music is CD 101.,"['Ambiance', 'music']","['positive', 'neutral']"
180,"If you want great Italian food, fairly price, good service, in Brooklyn, a couple of subway stops from Union Square,(where you should complain about the prices) go to Al Di La.","['Italian food', 'service', 'prices']","['positive', 'positive', 'negative']"
181,The service was slow (10 minutes for drinks??),"['service', 'drinks']","['negative', 'neutral']"
182,"The former generally succeeds quite well: Rich tarragon-scented macaroni and cheese is a big crowd-pleaser, served steaming in hefty individual casseroles; likewise the sizeable burger and herbed fries, and the dense milkshakes.","['individual casseroles', 'fries', 'dense milkshakes']","['positive', 'neutral', 'neutral']"
